HDI rank,Country,HDI,Life expectancy at birth,Expected years of schooling,Mean years of schooling,GNI per capita
108,Gabon,0.733,68.3,12.5,9.7,18854.06
108,Marshall Islands,0.733,66.9,16.4,11.6,7223.86
111,Botswana,0.731,69.2,11.4,10.5,16983.77
111,Fiji,0.731,67.3,13.8,10.4,12843.16
113,Indonesia,0.728,71.1,13.3,8.7,13700.13
114,Suriname,0.722,73.6,11.0,8.4,17344.39
115,Belize,0.721,73.6,12.0,8.8,12343.08
115,Libya,0.721,69.3,12.9,7.8,19831.43
117,Jamaica,0.720,71.5,12.4,10.0,10056.99
117,Kyrgyzstan,0.720,71.7,12.7,12.1,6078.12
117,Philippines,0.720,69.8,12.8,10.0,10731.20
120,Morocco,0.710,75.3,15.1,6.2,8652.88
121,Venezuela (Bolivarian Republic of),0.709,72.5,13.0,9.7,7157.08
122,Samoa,0.708,71.7,12.4,11.3,5952.02
123,Nicaragua,0.706,74.9,11.5,9.9,6881.48
124,Nauru,0.703,62.1,12.8,9.4,19642.38
125,Bhutan,0.698,73.0,13.2,5.8,13842.80
126,Eswatini (Kingdom of),0.695,64.1,15.2,8.7,9919.09
126,Iraq,0.695,72.3,12.4,6.8,12653.52
128,Tajikistan,0.691,71.8,10.8,11.3,5746.57
129,Tuvalu,0.689,67.1,12.4,10.8,7005.52
130,Bangladesh,0.685,74.7,12.3,6.8,8497.66
130,India,0.685,72.0,13.0,6.9,9046.76
132,El Salvador,0.678,72.1,11.1,7.3,10594.84
133,Equatorial Guinea,0.674,63.7,12.5,8.3,12762.47
133,"Palestine, State of",0.674,65.2,13.0,10.1,6547.10
135,Cabo Verde,0.668,76.1,11.4,6.1,8165.38
136,Namibia,0.665,67.4,11.8,7.3,10916.61
137,Guatemala,0.662,72.6,10.7,5.8,12458.60
138,Congo,0.649,65.8,12.7,8.3,5902.60
139,Honduras,0.645,72.9,10.2,7.5,6064.79
140,Kiribati,0.644,66.5,11.9,9.1,4947.28
141,Sao Tome and Principe,0.637,69.7,12.9,6.0,5583.42
142,Timor-Leste,0.634,67.7,13.3,6.2,5434.59
143,Ghana,0.628,65.5,11.4,7.1,6846.35
143,Kenya,0.628,63.6,11.5,8.6,5608.30
145,Nepal,0.622,70.4,13.8,4.5,4725.93
146,Vanuatu,0.621,71.5,11.8,7.2,3403.69
147,Lao People's Democratic Republic,0.617,69.0,9.6,6.1,8106.15
148,Angola,0.616,64.6,12.2,6.0,6631.28
149,Micronesia (Federated States of),0.615,67.2,11.5,7.3,4245.88
150,Myanmar,0.609,66.9,11.5,6.4,4918.81
151,Cambodia,0.606,70.7,11.2,5.2,4931.02
152,Comoros,0.603,66.8,13.3,6.0,3481.12
153,Zimbabwe,0.598,62.8,11.1,8.9,3511.46
154,Zambia,0.595,66.3,11.0,7.4,3446.68
155,Cameroon,0.588,63.7,10.8,6.6,4746.27
156,Solomon Islands,0.584,70.5,11.3,5.9,2777.27
157,Côte d'Ivoire,0.582,61.9,11.4,4.9,6735.42
157,Uganda,0.582,68.3,11.6,6.3,2736.41
159,Rwanda,0.578,67.8,12.6,4.9,2970.56
160,Papua New Guinea,0.576,66.1,11.5,5.0,3970.65
161,Togo,0.571,62.7,13.1,5.9,2855.96
162,Syrian Arab Republic,0.564,72.1,7.4,5.9,3917.70
163,Mauritania,0.563,68.5,7.9,4.9,6267.47
164,Nigeria,0.560,54.5,10.5,7.6,5569.37
165,Tanzania (United Republic of),0.555,67.0,8.6,6.1,3514.63
166,Haiti,0.554,64.9,10.9,5.4,2934.93
167,Lesotho,0.550,57.4,11.0,7.7,3029.39
168,Pakistan,0.544,67.6,7.9,4.3,5501.13
169,Senegal,0.530,68.7,9.1,2.9,4202.03
170,Gambia,0.524,65.9,9.0,4.7,2812.02
171,Congo (Democratic Republic of the),0.522,61.9,10.9,7.4,1431.05
172,Malawi,0.517,67.4,9.9,5.2,1633.69
173,Benin,0.515,60.8,10.4,3.2,3805.53
174,Guinea-Bissau,0.514,64.1,10.6,3.7,2403.06
175,Djibouti,0.513,66.0,6.2,4.0,6367.61
176,Sudan,0.511,66.3,8.6,4.0,2810.31
177,Liberia,0.510,62.2,10.5,6.2,1537.86
178,Eritrea,0.503,68.6,7.3,5.1,2029.07
179,Guinea,0.500,60.7,10.4,2.5,3494.35
180,Ethiopia,0.497,67.3,9.2,2.4,2795.51
181,Afghanistan,0.496,66.0,10.8,2.5,1971.55
182,Mozambique,0.493,63.6,10.8,4.6,1355.77
183,Madagascar,0.487,63.6,9.1,4.6,1655.76
184,Yemen,0.470,69.3,7.5,5.5,1018.20
185,Sierra Leone,0.467,61.8,9.1,3.5,1713.73
186,Burkina Faso,0.459,61.1,8.7,2.3,2390.53
187,Burundi,0.439,63.7,9.8,3.5,858.92
188,Mali,0.419,60.4,7.0,1.6,2341.59
188,Niger,0.419,61.2,8.3,1.4,1590.19
190,Chad,0.416,55.1,8.3,2.3,1748.00
191,Central African Republic,0.414,57.4,7.4,4.0,1099.86
192,Somalia,0.404,58.8,7.5,1.9,1474.74
193,South Sudan,0.388,57.6,5.6,5.7,688.35
